time,spot_price,inter_gen,demand,period
2018-01-01 00:00:00,90.43,146.87,4599,1
2018-01-01 00:30:00,92.46,131.68,4398,2
2018-01-01 01:00:00,87.62,119.98,4238,3
2018-01-01 01:30:00,73.08,123.86,4112,4
2018-01-01 02:00:00,70.18,132.72,3956,5
2018-01-01 02:30:00,67.43,120.73,3833,6
2018-01-01 03:00:00,66.31,128.69,3749,7
2018-01-01 03:30:00,67.72,122.97,3702,8
2018-01-01 04:00:00,65.5,116.66,3688,9
2018-01-01 04:30:00,64.5,125.17,3700,10
2018-01-01 05:00:00,65.41,112.73,3701,11
2018-01-01 05:30:00,63.66,126.54,3721,12
2018-01-01 06:00:00,59.9,149.29,3731,13
2018-01-01 06:30:00,64.67,159.9,3786,14
2018-01-01 07:00:00,66.89,155.03,3811,15
2018-01-01 07:30:00,67.06,124.56,3776,16
2018-01-01 08:00:00,67.49,105.21,3802,17
2018-01-01 08:30:00,67.12,83.25,3835,18
2018-01-01 09:00:00,67.47,66.24,3829,19
2018-01-01 09:30:00,71.02,73.56,3856,20
2018-01-01 10:00:00,71.08,84.96,3846,21
2018-01-01 10:30:00,71.13,64.0,3833,22
2018-01-01 11:00:00,74.86,81.7,3834,23
2018-01-01 11:30:00,72.45,113.44,3844,24
2018-01-01 12:00:00,66.51,122.39,3865,25
2018-01-01 12:30:00,64.77,129.18,3871,26
2018-01-01 13:00:00,70.02,118.18,3888,27
2018-01-01 13:30:00,76.04,132.45,3941,28
2018-01-01 14:00:00,76.8,136.74,4022,29
2018-01-01 14:30:00,76.77,142.04,4118,30
2018-01-01 15:00:00,73.21,121.6,4241,31
2018-01-01 15:30:00,78.59,109.16,4383,32
2018-01-01 16:00:00,85.27,101.92,4527,33
2018-01-01 16:30:00,80.8,104.47,4687,34
2018-01-01 17:00:00,81.76,105.16,4809,35
2018-01-01 17:30:00,75.14,109.4,4863,36
2018-01-01 18:00:00,73.45,124.84,4880,37
2018-01-01 18:30:00,68.77,151.51,4840,38
2018-01-01 19:00:00,70.64,181.25,4760,39
2018-01-01 19:30:00,67.8,185.54,4667,40
2018-01-01 20:00:00,73.9,179.73,4602,41
2018-01-01 20:30:00,77.97,172.92,4602,42
2018-01-01 21:00:00,70.04,175.67,4516,43
2018-01-01 21:30:00,71.25,166.08,4425,44
2018-01-01 22:00:00,66.06,158.81,4329,45
2018-01-01 22:30:00,64.77,114.76,4254,46
2018-01-01 23:00:00,61.09,96.57,4228,47
2018-01-01 23:30:00,63.55,100.23,4429,48
2018-01-02 00:00:00,60.31,100.61,4436,1
2018-01-02 00:30:00,57.33,105.78,4259,2
2018-01-02 01:00:00,56.32,118.78,4123,3
2018-01-02 01:30:00,51.96,111.36,4032,4
2018-01-02 02:00:00,53.57,90.74,3899,5
